GPST,Ax,Ay,Az,Gx,Gy,Gz
390891.066,-1.4808041499999998,-9.9047165,0.8433718999999998,-0.064,0.128,-0.045
390891.106,-1.22583125,-9.9047165,0.8825985,-0.012,0.038,0.023
390891.146,-1.1179581,-9.6693569,0.8924051499999999,-0.003,-0.02,0.052
390891.186,-1.0395048999999998,-9.8851032,0.7551120499999999,0.022,-0.124,0.005
390891.226,-0.7649187,-9.7478101,0.8924051499999999,0.036,-0.067,0.007
390891.266,-0.8433718999999998,-9.6497436,0.81395195,0.01,-0.014,0.01
390891.306,-1.0002783,-9.6301303,0.77472535,0.001,0.019,-0.029
390891.346,-1.0983448,-9.7478101,0.7943386499999999,-0.014,0.022,-0.026
390891.386,-1.2552512,-9.7870367,0.7256921,-0.006,-0.081,0.006
390891.426,-1.1179581,-9.7674234,0.8727918499999999,0.019,-0.115,0.019
390891.466,-1.0787315,-9.77723005,0.8531785499999999,0.024,-0.089,0.043
390891.506,-1.12776475,-9.67916355,0.7551120499999999,0.019,-0.1,0.032
390891.545,-1.04931155,-9.590903699999998,0.73549875,0.028,-0.174,0.022
390891.585,-0.8629851999999999,-9.7281968,0.9610517,0.013,-0.084,0.041
390891.625,-0.980665,-9.7674234,0.8727918499999999,0.008,0.055,0.019
390891.665,-1.0787315,-9.5712904,0.9022118,0.001,0.067,-0.009
390891.705,-1.16699135,-9.60071035,0.8825985,-0.009,0.079,-0.011
390891.745,-1.28467115,-9.7870367,0.8237586,-0.016,0.09,-0.005
390891.785,-1.4121575999999998,-9.7478101,0.8629851999999999,-0.019,0.031,-0.034
390891.825,-1.22583125,-9.6301303,1.0395048999999998,0.006,0.012,-0.015
390891.865,-1.32389775,-9.7281968,0.95124505,0.014,0.077,0.023
390891.905,-1.36312435,-9.6301303,0.8825985,0.011,0.023,0.033
390891.945,-1.4121575999999998,-9.73800345,0.91201845,-0.01,0.015,0.024
390891.985,-1.4513842,-9.71839015,0.7649187,0.015,-0.143,0.007
390892.025,-1.0787315,-9.6889702,1.08853815,0.021,-0.141,0.051
390892.065,-1.1866046499999998,-9.7085835,0.7943386499999999,0.014,-0.096,0.063
390892.105,-1.0002783,-9.6889702,0.97085835,0.022,-0.12,0.02
390892.145,-1.08853815,-9.5712904,0.95124505,-0.029,0.036,0.001
390892.185,-1.4219642499999998,-9.75761675,0.48052585,-0.011,-0.207,-0.042
390892.225,-0.7453053999999999,-9.80665,1.3140911,0.016,-0.202,-0.025
390892.265,-1.1571847,-9.71839015,0.77472535,-0.03,0.079,-0.013
390892.305,-1.32389775,-9.4536106,0.5982056499999999,-0.023,-0.266,-0.073
390892.345,-0.91201845,-9.71839015,1.0395048999999998,-0.035,-0.247,-0.057
390892.385,-0.95124505,-9.7085835,0.7256921,-0.015,-0.193,-0.035
390892.425,-0.7158854499999999,-9.73800345,1.0198915999999998,-0.017,-0.124,-0.002
390892.465,-0.9218251,-9.7085835,0.83356525,-0.035,0.067,0.021
390892.505,-1.0198915999999998,-9.63993695,0.8237586,-0.037,0.031,-0.015
390892.545,-1.0002783,-9.6693569,0.8727918499999999,-0.043,0.043,-0.021
390892.585,-1.10815145,-9.77723005,0.784532,-0.044,0.025,-0.031
390892.624,-1.0787315,-9.7085835,0.8237586,-0.04,-0.03,-0.037
390892.664,-0.980665,-9.71839015,0.9610517,-0.034,-0.016,-0.033
390892.704,-1.0198915999999998,-9.6889702,0.9022118,-0.036,0.051,-0.03
390892.744,-1.06892485,-9.6889702,0.91201845,-0.037,0.063,-0.031
390892.784,-1.1866046499999998,-9.7870367,0.8433718999999998,-0.039,0.072,-0.03
390892.824,-1.1571847,-9.71839015,0.8727918499999999,-0.019,0.015,-0.006
390892.864,-1.12776475,-9.69877685,0.9218251,-0.013,0.042,0.009
390892.904,-1.1767979999999998,-9.7478101,0.77472535,-0.009,0.015,-0.007
390892.944,-1.12776475,-9.7870367,0.91201845,-0.008,-0.001,-0.015
390892.984,-1.0395048999999998,-9.83606995,0.95124505,0.015,0.008,-0.003
390893.024,-1.04931155,-9.610517,1.01008495,0.011,0.138,0.005
390893.064,-1.4023509499999998,-9.4536106,0.7453053999999999,-0.017,0.108,-0.018
390893.104,-1.4121575999999998,-9.7281968,0.8237586,-0.01,-0.043,0.007
390893.144,-1.3337044,-9.855683249999998,0.8433718999999998,0.011,-0.111,0.043
390893.184,-1.12776475,-9.7674234,0.97085835,0.023,-0.139,0.032
390893.224,-1.0395048999999998,-9.63993695,0.9414384,0.022,-0.134,0.026
390893.264,-1.01008495,-9.610517,0.980665,0.0,-0.055,0.034
390893.304,-1.2552512,-9.7478101,0.63743225,-0.008,-0.099,0.002
390893.344,-0.95124505,-9.9243298,0.7649187,0.02,-0.234,-0.001
390893.384,-0.6962721499999999,-9.7085835,1.0591182,0.022,-0.069,0.024
390893.424,-0.8924051499999999,-9.52225715,0.73549875,0.01,-0.01,0.008
390893.464,-0.8041453,-9.610517,1.08853815,-0.03,0.06,-0.025
390893.504,-1.20621795,-9.56148375,0.73549875,-0.059,0.099,-0.038
390893.544,-1.1179581,-9.8458766,1.01008495,-0.024,-0.018,-0.011
390893.584,-1.24544455,-9.875296549999998,0.8727918499999999,-0.017,0.135,0.021
390893.624,-1.4317708999999998,-9.4732239,0.67665885,-0.017,-0.076,0.009
390893.663,-1.1866046499999998,-9.58109705,0.99047165,-0.045,-0.135,0.021
390893.703,-1.2748645,-9.7674234,0.7551120499999999,-0.025,-0.177,0.04
390893.743,-1.01008495,-9.855683249999998,0.9414384,-0.027,-0.148,0.066
390893.783,-1.14737805,-9.6693569,0.48052585,-0.015,-0.266,0.061
390893.823,-0.63743225,-9.7478101,0.9610517,-0.006,-0.28,0.044
390893.863,-0.7060787999999999,-9.81645665,0.73549875,-0.021,-0.044,0.028
390893.903,-0.7551120499999999,-9.73800345,0.7649187,-0.022,-0.034,-0.022
390893.943,-0.7551120499999999,-9.75761675,0.8237586,-0.013,0.08,-0.032
390893.983,-0.8629851999999999,-9.77723005,0.73549875,0.002,0.133,-0.028
390894.023,-1.0198915999999998,-9.63993695,0.784532,-0.013,0.186,-0.048
390894.063,-1.14737805,-9.77723005,0.6962721499999999,-0.014,0.224,-0.051
390894.103,-1.3140911,-9.7478101,0.6472389,0.004,0.135,-0.054
390894.142,-1.06892485,-9.91452315,0.8727918499999999,0.017,0.077,-0.014
390894.182,-1.0983448,-9.7281968,0.93163175,0.025,0.173,-0.015
390894.222,-1.1571847,-9.67916355,0.8727918499999999,0.046,0.188,-0.068
390894.262,-1.1964112999999998,-9.65955025,0.8629851999999999,0.029,0.223,-0.021
390894.302,-1.372931,-9.60071035,0.784532,0.021,0.222,0.01
390894.342,-1.4808041499999998,-9.6889702,0.83356525,0.011,0.166,-0.023
390894.382,-1.4023509499999998,-9.7478101,0.8727918499999999,0.021,0.068,-0.015
390894.422,-1.3337044,-9.62032365,0.9610517,0.029,0.002,0.022
390894.462,-1.24544455,-9.67916355,0.8727918499999999,0.032,-0.03,0.006
390894.502,-1.1179581,-9.69877685,0.9610517,0.025,-0.023,0.029
390894.542,-1.12776475,-9.6301303,1.0395048999999998,0.017,0.004,0.007
390894.582,-1.2160246,-9.75761675,1.01008495,0.015,0.022,0.002
390894.622,-1.30428445,-9.63993695,0.8727918499999999,0.018,-0.048,0.019
390894.662,-1.16699135,-9.610517,0.91201845,0.012,-0.108,0.013
390894.701,-1.0591182,-9.6497436,0.99047165,-0.005,-0.102,0.006
390894.741,-1.06892485,-9.80665,1.0002783,-0.009,-0.059,0.001
390894.781,-1.0395048999999998,-9.7085835,1.0002783,0.002,-0.061,-0.006
390894.821,-1.04931155,-9.610517,1.0198915999999998,-0.01,-0.012,0.006
390894.861,-1.1571847,-9.7478101,0.8727918499999999,-0.006,-0.01,0.005
390894.901,-1.06892485,-9.6497436,1.0787315,-0.012,0.009,0.008
390894.941,-1.22583125,-9.73800345,0.97085835,-0.016,0.039,0.002
390894.981,-1.24544455,-9.6693569,0.99047165,-0.004,-0.015,-0.01
390895.021,-1.22583125,-9.73800345,0.97085835,0.002,-0.016,-0.007
390895.061,-1.1964112999999998,-9.7478101,0.980665,0.007,-0.015,-0.004
390895.101,-1.14737805,-9.6497436,1.01008495,0.012,-0.011,-0.003
390895.141,-1.10815145,-9.6693569,0.99047165,0.014,0.006,0.007
390895.181,-1.12776475,-9.610517,1.0198915999999998,0.001,0.059,-0.004
390895.221,-1.28467115,-9.69877685,0.97085835,-0.016,0.1,-0.01
390895.261,-1.372931,-9.69877685,0.9610517,-0.007,0.059,0.015
390895.301,-1.30428445,-9.54187045,0.9610517,-0.001,0.023,0.041
390895.341,-1.3533177,-9.8458766,0.8727918499999999,-0.011,-0.031,0.009
390895.382,-1.1571847,-9.7674234,0.93163175,0.016,-0.119,0.005
390895.422,-1.0198915999999998,-9.610517,1.01008495,0.011,-0.054,0.027
390895.462,-1.0787315,-9.56148375,0.9218251,-0.009,-0.029,-0.008
390895.502,-1.1571847,-9.73800345,0.95124505,-0.021,0.024,0.004
390895.542,-1.2748645,-9.7478101,0.8924051499999999,-0.008,-0.008,0.027
390895.582,-1.1866046499999998,-9.65955025,0.9414384,-0.001,-0.073,0.036
390895.622,-1.0591182,-9.610517,1.06892485,-0.001,-0.058,0.024
390895.662,-1.12776475,-9.65955025,1.06892485,-0.021,0.07,0.019
390895.702,-1.3925442999999995,-9.71839015,0.8531785499999999,-0.023,0.038,0.007
390895.742,-1.3337044,-9.77723005,0.95124505,-0.011,-0.088,-0.011
390895.782,-1.1767979999999998,-9.75761675,1.1179581,-0.001,-0.119,-0.014
390895.821,-1.06892485,-9.6889702,1.1571847,0.02,-0.058,-0.011
390895.861,-1.1375714,-9.5712904,1.0787315,0.007,0.048,0.013
390895.901,-1.372931,-9.6301303,0.9022118,-0.016,0.064,-0.001
390895.941,-1.4023509499999998,-9.6693569,1.01008495,-0.027,-0.014,-0.023
390895.981,-1.32389775,-9.6693569,1.1767979999999998,-0.017,-0.044,-0.021
390896.021,-1.28467115,-9.62032365,1.1767979999999998,-0.002,0.01,-0.001
390896.061,-1.4023509499999998,-9.71839015,1.0395048999999998,-0.005,0.04,0.011
390896.101,-1.4317708999999998,-9.6693569,1.12776475,0.0,0.05,0.02
390896.141,-1.4709975,-9.65955025,1.0002783,0.005,0.033,0.035
390896.181,-1.4023509499999998,-9.6693569,0.97085835,-0.002,-0.067,0.005
390896.221,-1.1964112999999998,-9.6497436,1.04931155,-0.002,-0.075,-0.007
390896.261,-1.1571847,-9.63993695,1.0296982499999998,-0.011,0.0,-0.007
390896.301,-1.2160246,-9.65955025,0.97085835,-0.021,0.055,-0.012
390896.341,-1.32389775,-9.6889702,0.8433718999999998,-0.019,0.038,0.007
390896.381,-1.24544455,-9.65955025,0.980665,-0.012,-0.024,-0.015
390896.421,-1.20621795,-9.69877685,1.01008495,-0.014,0.041,-0.012
390896.461,-1.3140911,-9.590903699999998,0.9218251,-0.014,0.047,-0.0
390896.501,-1.4023509499999998,-9.7281968,0.91201845,-0.022,0.053,-0.013
390896.541,-1.46119085,-9.7085835,0.8629851999999999,-0.016,-0.01,0.0
390896.581,-1.24544455,-9.54187045,1.2356379,-0.008,-0.031,0.019
390896.621,-1.61809725,-9.67916355,0.8237586,-0.027,0.103,0.005
390896.661,-1.57887065,-9.75761675,0.8629851999999999,-0.01,-0.092,0.019
390896.701,-1.34351105,-9.6497436,0.91201845,-0.017,-0.158,0.06
390896.741,-1.20621795,-9.40457735,1.0198915999999998,-0.028,-0.221,0.003
390896.781,-1.0296982499999998,-9.80665,1.0983448,-0.023,-0.068,-0.01
390896.821,-1.28467115,-9.8654899,0.81395195,-0.032,0.043,0.035
