time,pdr_x,pdr_y
391826.104,86.09572225475225,-24.437768170473557
391826.144,86.09572225475225,-24.437768170473557
391826.184,86.09572225475225,-24.437768170473557
391826.224,86.09572225475225,-24.437768170473557
391826.264,86.09572225475225,-24.437768170473557
391826.304,86.09572225475225,-24.437768170473557
391826.344,86.09572225475225,-24.437768170473557
391826.384,86.09572225475225,-24.437768170473557
391826.424,86.09572225475225,-24.437768170473557
391826.464,86.09572225475225,-24.437768170473557
391826.504,86.09572225475225,-24.437768170473557
391826.544,86.09572225475225,-24.437768170473557
391826.584,86.09572225475225,-24.437768170473557
391826.624,86.09572225475225,-24.437768170473557
391826.664,86.09572225475225,-24.437768170473557
391826.704,86.09572225475225,-24.437768170473557
391826.744,85.61761933995469,-24.29570645806972
391826.784,85.61761933995469,-24.29570645806972
391826.824,85.61761933995469,-24.29570645806972
391826.864,85.61761933995469,-24.29570645806972
391826.904,85.61761933995469,-24.29570645806972
391826.943,85.61761933995469,-24.29570645806972
391826.983,85.61761933995469,-24.29570645806972
391827.023,85.61761933995469,-24.29570645806972
391827.063,85.61761933995469,-24.29570645806972
391827.103,85.61761933995469,-24.29570645806972
391827.143,85.61761933995469,-24.29570645806972
391827.183,85.61761933995469,-24.29570645806972
391827.223,85.61761933995469,-24.29570645806972
391827.263,85.15073600448022,-24.144009674252775
391827.303,85.15073600448022,-24.144009674252775
391827.343,85.15073600448022,-24.144009674252775
391827.383,85.15073600448022,-24.144009674252775
391827.423,85.15073600448022,-24.144009674252775
391827.463,85.15073600448022,-24.144009674252775
391827.503,85.15073600448022,-24.144009674252775
391827.543,85.15073600448022,-24.144009674252775
391827.583,85.15073600448022,-24.144009674252775
391827.623,85.15073600448022,-24.144009674252775
391827.663,85.15073600448022,-24.144009674252775
391827.703,85.15073600448022,-24.144009674252775
391827.743,85.15073600448022,-24.144009674252775
391827.783,85.15073600448022,-24.144009674252775
391827.823,84.47295032575218,-23.929914785808542
391827.863,84.47295032575218,-23.929914785808542
391827.902,84.47295032575218,-23.929914785808542
391827.942,84.47295032575218,-23.929914785808542
391827.982,84.47295032575218,-23.929914785808542
391828.022,84.47295032575218,-23.929914785808542
391828.062,84.47295032575218,-23.929914785808542
391828.102,84.47295032575218,-23.929914785808542
391828.142,84.47295032575218,-23.929914785808542
391828.182,84.47295032575218,-23.929914785808542
391828.222,84.47295032575218,-23.929914785808542
391828.262,84.47295032575218,-23.929914785808542
391828.302,84.47295032575218,-23.929914785808542
391828.342,84.47295032575218,-23.929914785808542
391828.382,84.47295032575218,-23.929914785808542
391828.422,84.47295032575218,-23.929914785808542
391828.462,84.47295032575218,-23.929914785808542
391828.502,84.47295032575218,-23.929914785808542
391828.542,84.47295032575218,-23.929914785808542
391828.582,84.47295032575218,-23.929914785808542
391828.622,84.47295032575218,-23.929914785808542
391828.662,84.47295032575218,-23.929914785808542
391828.702,84.47295032575218,-23.929914785808542
391828.742,84.47295032575218,-23.929914785808542
391828.782,84.47295032575218,-23.929914785808542
